--- Stage 1 Parameters ---
R_ohm,1.146257e-01
L_ind,0.000000e+00
--- Stage 2 Peak Parameters ---
Peak_1_R,1.002651e-01
Peak_1_C,2.169556e-01
Peak_1_frequency,7.316433e+00
Peak_2_R,1.002651e-01
Peak_2_C,6.672118e+00
Peak_2_frequency,2.379066e-01
Peak_3_R,1.002651e-01
Peak_3_C,2.051902e+02
Peak_3_frequency,7.735949e-03

--- Frequency-Time Domain Peak Fitting Curves Block ---
tau (s),ln(tau),gamma_raw,gamma_fitted_total,gamma_peak_1,gamma_peak_2,gamma_peak_3
7.076682e-04,-7.253535e+00,9.544438e-38,5.219299e-06,5.219299e-06,5.907147e-18,7.248811e-38
7.545095e-04,-7.189443e+00,5.170068e-34,7.331664e-06,7.331664e-06,1.169425e-17,2.022394e-37
8.044513e-04,-7.125350e+00,1.711721e-30,1.023306e-05,1.023306e-05,2.300275e-17,5.606314e-37
8.576987e-04,-7.061258e+00,3.463863e-27,1.419125e-05,1.419125e-05,4.495722e-17,1.544193e-36
9.144707e-04,-6.997165e+00,4.284297e-24,1.955458e-05,1.955458e-05,8.730349e-17,4.226083e-36
9.750004e-04,-6.933073e+00,3.238843e-21,2.677250e-05,2.677250e-05,1.684520e-16,1.149177e-35
1.039537e-03,-6.868980e+00,1.496555e-18,3.642014e-05,3.642014e-05,3.229486e-16,3.104906e-35
1.108345e-03,-6.804888e+00,4.226592e-16,4.922739e-05,4.922739e-05,6.151811e-16,8.335323e-35
1.181707e-03,-6.740795e+00,7.296046e-14,6.611264e-05,6.611264e-05,1.164354e-15,2.223355e-34
1.259926e-03,-6.676703e+00,7.698315e-12,8.822155e-05,8.822155e-05,2.189675e-15,5.892611e-34
1.343321e-03,-6.612610e+00,4.965245e-10,1.169708e-04,1.169708e-04,4.091538e-15,1.551741e-33
1.432237e-03,-6.548518e+00,1.957860e-08,1.540964e-04,1.540964e-04,7.596369e-15,4.060158e-33
1.527038e-03,-6.484425e+00,4.721218e-07,2.017066e-04,2.017066e-04,1.401322e-14,1.055551e-32
1.628115e-03,-6.420333e+00,6.967368e-06,2.623374e-04,2.623374e-04,2.568517e-14,2.726642e-32
1.735881e-03,-6.356240e+00,6.302938e-05,3.390101e-04,3.390101e-04,4.677775e-14,6.998249e-32
1.850781e-03,-6.292148e+00,3.508746e-04,4.352890e-04,4.352890e-04,8.464645e-14,1.784691e-31
1.973286e-03,-6.228055e+00,1.213109e-03,5.553352e-04,5.553352e-04,1.521916e-13,4.522195e-31
2.103900e-03,-6.163963e+00,2.665188e-03,7.039555e-04,7.039555e-04,2.718848e-13,1.138539e-30
2.243159e-03,-6.099870e+00,3.944481e-03,8.866406e-04,8.866406e-04,4.826049e-13,2.848126e-30
2.391636e-03,-6.035777e+00,4.505119e-03,1.109590e-03,1.109590e-03,8.511596e-13,7.079178e-30
2.549941e-03,-5.971685e+00,4.862622e-03,1.379717e-03,1.379717e-03,1.491567e-12,1.748312e-29
2.718724e-03,-5.907592e+00,5.368323e-03,1.704629e-03,1.704629e-03,2.597090e-12,4.290101e-29
2.898680e-03,-5.843500e+00,5.632984e-03,2.092580e-03,2.092580e-03,4.493075e-12,1.045993e-28
3.090546e-03,-5.779407e+00,5.600849e-03,2.552390e-03,2.552390e-03,7.723477e-12,2.533974e-28
3.295113e-03,-5.715315e+00,5.575112e-03,3.093316e-03,3.093316e-03,1.319151e-11,6.099414e-28
3.513219e-03,-5.651222e+00,5.500426e-03,3.724895e-03,3.724895e-03,2.238663e-11,1.458769e-27
3.745763e-03,-5.587130e+00,5.247617e-03,4.456729e-03,4.456729e-03,3.774811e-11,3.466551e-27
3.993699e-03,-5.523037e+00,4.942399e-03,5.298232e-03,5.298232e-03,6.324327e-11,8.185043e-27
4.258046e-03,-5.458945e+00,4.640037e-03,6.258325e-03,6.258325e-03,1.052800e-10,1.920246e-26
4.539890e-03,-5.394852e+00,4.268211e-03,7.345102e-03,7.345101e-03,1.741365e-10,4.476157e-26
4.840390e-03,-5.330760e+00,3.853904e-03,8.565445e-03,8.565445e-03,2.861847e-10,1.036731e-25
5.160781e-03,-5.266667e+00,3.455270e-03,9.924635e-03,9.924635e-03,4.673210e-10,2.385830e-25
5.502378e-03,-5.202575e+00,3.053850e-03,1.142593e-02,1.142593e-02,7.582227e-10,5.455383e-25
5.866586e-03,-5.138482e+00,2.644013e-03,1.307017e-02,1.307017e-02,1.222336e-09,1.239434e-24
6.254902e-03,-5.074390e+00,2.258467e-03,1.485536e-02,1.485536e-02,1.957930e-09,2.797914e-24
6.668920e-03,-5.010297e+00,1.903797e-03,1.677636e-02,1.677636e-02,3.116133e-09,6.275633e-24
7.110343e-03,-4.946205e+00,1.572430e-03,1.882456e-02,1.882455e-02,4.927734e-09,1.398599e-23
7.580984e-03,-4.882112e+00,1.275230e-03,2.098767e-02,2.098767e-02,7.742676e-09,3.097001e-23
8.082777e-03,-4.818020e+00,1.023041e-03,2.324964e-02,2.324963e-02,1.208780e-08,6.813999e-23
8.617784e-03,-4.753927e+00,8.146971e-04,2.559062e-02,2.559060e-02,1.875064e-08,1.489619e-22
9.188204e-03,-4.689835e+00,6.473116e-04,2.798709e-02,2.798706e-02,2.889997e-08,3.235644e-22
9.796381e-03,-4.625742e+00,5.185715e-04,3.041216e-02,3.041212e-02,4.425793e-08,6.983270e-22
1.044481e-02,-4.561650e+00,4.232229e-04,3.283594e-02,3.283587e-02,6.734374e-08,1.497509e-21
1.113617e-02,-4.497557e+00,3.544822e-04,3.522606e-02,3.522596e-02,1.018160e-07,3.190747e-21
1.187328e-02,-4.433465e+00,3.063415e-04,3.754839e-02,3.754824e-02,1.529491e-07,6.755039e-21
1.265919e-02,-4.369372e+00,2.739984e-04,3.976778e-02,3.976755e-02,2.282920e-07,1.420940e-20
1.349711e-02,-4.305280e+00,2.537679e-04,4.184890e-02,4.184856e-02,3.385686e-07,2.969862e-20
1.439050e-02,-4.241187e+00,2.430685e-04,4.375722e-02,4.375672e-02,4.989021e-07,6.167501e-20
1.534302e-02,-4.177095e+00,2.403855e-04,4.545989e-02,4.545916e-02,7.304598e-07,1.272608e-19
1.635859e-02,-4.113002e+00,2.452005e-04,4.692674e-02,4.692568e-02,1.062649e-06,2.609110e-19
1.744138e-02,-4.048910e+00,2.579430e-04,4.813113e-02,4.812959e-02,1.536016e-06,5.314994e-19
1.859584e-02,-3.984817e+00,2.799958e-04,4.905076e-02,4.904856e-02,2.206044e-06,1.075785e-18
1.982672e-02,-3.920725e+00,3.137600e-04,4.966842e-02,4.966527e-02,3.148076e-06,2.163520e-18
2.113907e-02,-3.856632e+00,3.627213e-04,4.997245e-02,4.996799e-02,4.463634e-06,4.323233e-18
2.253829e-02,-3.792540e+00,4.314544e-04,4.995719e-02,4.995091e-02,6.288462e-06,8.583588e-18
2.403012e-02,-3.728447e+00,5.254567e-04,4.962316e-02,4.961436e-02,8.802637e-06,1.693330e-17
2.562070e-02,-3.664355e+00,6.506824e-04,4.897702e-02,4.896478e-02,1.224316e-05,3.319149e-17
2.731656e-02,-3.600262e+00,8.126706e-04,4.803146e-02,4.801454e-02,1.691948e-05,6.464344e-17
2.912467e-02,-3.536170e+00,1.015381e-03,4.680473e-02,4.678150e-02,2.323233e-05,1.250934e-16
3.105247e-02,-3.472077e+00,1.260089e-03,4.532021e-02,4.528851e-02,3.169647e-05,2.405233e-16
3.310786e-02,-3.407985e+00,1.545141e-03,4.360563e-02,4.356266e-02,4.296765e-05,4.595071e-16
3.529930e-02,-3.343892e+00,1.867083e-03,4.169236e-02,4.163449e-02,5.787418e-05,8.722476e-16
3.763580e-02,-3.279800e+00,2.222279e-03,3.961453e-02,3.953708e-02,7.745340e-05,1.645128e-15
4.012695e-02,-3.215707e+00,2.607635e-03,3.740810e-02,3.730511e-02,1.029932e-04,3.082991e-15
4.278300e-02,-3.151615e+00,3.020016e-03,3.511002e-02,3.497394e-02,1.360784e-04,5.740600e-15
4.561485e-02,-3.087522e+00,3.455508e-03,3.275731e-02,3.257867e-02,1.786415e-04,1.062074e-14
4.863414e-02,-3.023430e+00,3.909476e-03,3.038629e-02,3.015328e-02,2.330172e-04,1.952381e-14
5.185328e-02,-2.959337e+00,4.377267e-03,2.803189e-02,2.772989e-02,3.019993e-04,3.566047e-14
5.528551e-02,-2.895244e+00,4.854076e-03,2.572702e-02,2.533812e-02,3.888987e-04,6.471753e-14
5.894491e-02,-2.831152e+00,5.334718e-03,2.350211e-02,2.300451e-02,4.975989e-04,1.166996e-13
6.284654e-02,-2.767059e+00,5.814005e-03,2.138480e-02,2.075220e-02,6.326083e-04,2.090880e-13
6.700641e-02,-2.702967e+00,6.286568e-03,1.939973e-02,1.860063e-02,7.991032e-04,3.722215e-13
7.144164e-02,-2.638874e+00,6.746996e-03,1.756843e-02,1.656547e-02,1.002959e-03,6.583945e-13
7.617043e-02,-2.574782e+00,7.189820e-03,1.590936e-02,1.465859e-02,1.250766e-03,1.157133e-12
8.121223e-02,-2.510689e+00,7.609668e-03,1.443805e-02,1.288823e-02,1.549821e-03,2.020660e-12
8.658775e-02,-2.446597e+00,8.001420e-03,1.316727e-02,1.125918e-02,1.908092e-03,3.506028e-12
9.231908e-02,-2.382504e+00,8.360003e-03,1.210726e-02,9.773106e-03,2.334155e-03,6.044355e-12
9.842978e-02,-2.318412e+00,8.680836e-03,1.126599e-02,8.428902e-03,2.837085e-03,1.035374e-11
1.049449e-01,-2.254319e+00,8.959616e-03,1.064939e-02,7.223072e-03,3.426318e-03,1.762206e-11
1.118914e-01,-2.190227e+00,9.192517e-03,1.026160e-02,6.150144e-03,4.111454e-03,2.980086e-11
1.192976e-01,-2.126134e+00,9.376325e-03,1.010511e-02,5.203087e-03,4.902026e-03,5.007413e-11
